HBWv5_BL_Sequence,HBWv5_BL_Scientific_name,AVONET_BirdLife_AvibaseID1,Egg,Cooperative
112,Ortalis garrula,AVIBASE-B679EB0C,63,0
113,Ortalis ruficauda,AVIBASE-E6447877,68,0
114,Ortalis erythroptera,AVIBASE-7B8E0E0F,63.17522371,0
115,Ortalis wagleri,AVIBASE-1C856C25,76.42629644,0
116,Ortalis poliocephala,AVIBASE-98FC9EB9,56,0
117,Ortalis canicollis,AVIBASE-497B576C,56.61205607,0
118,Ortalis leucogastra,AVIBASE-36D6CAB7,56,0
119,Ortalis columbiana,AVIBASE-1F58D15F,57.40611811,0
120,Ortalis guttata,AVIBASE-3BA3E03E,57.40611811,0
121,Ortalis araucuan,AVIBASE-7C8C422A,43.25,0
122,Ortalis squamata,AVIBASE-407F8A84,57.40611811,0
123,Ortalis motmot,AVIBASE-EE30379C,52.2,0
124,Ortalis superciliaris,AVIBASE-D2E6C1C1,59.4403435,0
125,Nothocrax urumutum,AVIBASE-B4CC6C9F,108,0
126,Crax rubra,AVIBASE-BA8A14D2,218,0
127,Crax alberti,AVIBASE-9260D3DD,200,0
128,Crax daubentoni,AVIBASE-0A74C21D,196.5,0
129,Crax alector,AVIBASE-16A1A2B1,180.5418581,0
130,Crax fasciolata,AVIBASE-CFC11273,185,0
131,Crax pinima,AVIBASE-E9BD3822,185,0
132,Crax globulosa,AVIBASE-E3180F5D,182,0
133,Crax blumenbachii,AVIBASE-CB3380D4,194.5,0
134,Mitu tomentosum,AVIBASE-5C20314D,190,0
135,Mitu mitu,AVIBASE-333D3213,196,0
136,Mitu tuberosum,AVIBASE-303C9D79,191.7645916,0
137,Mitu salvini,AVIBASE-D24A7EA3,188.4546486,0
138,Pauxi unicornis,AVIBASE-FB925C9B,214.6068733,0
139,Pauxi koepckeae,AVIBASE-8F41C0ED,214.6068733,0
140,Pauxi pauxi,AVIBASE-04689F34,190,0
141,Numida meleagris,AVIBASE-1044B438,39.4,0
142,Agelastes meleagrides,AVIBASE-E0EE1B89,29.2,0
143,Agelastes niger,AVIBASE-38193321,29.5,0
144,Acryllium vulturinum,AVIBASE-F7A3FA35,49,0
145,Guttera plumifera,AVIBASE-374253A6,38.5,0
146,Guttera verreauxi,AVIBASE-9D29C252,46.45,0
147,Guttera pucherani,AVIBASE-35D60F12,46.45,0
148,Guttera edouardi,AVIBASE-34703319,46.45,0
149,Ptilopachus petrosus,AVIBASE-57B05159,11.9,0
150,Ptilopachus nahani,AVIBASE-07A42F4E,16.94398143,0
151,Philortyx fasciatus,AVIBASE-4DE41E52,7.589239438,0
152,Oreortyx pictus,AVIBASE-171E91FF,11.555,0
153,Colinus virginianus,AVIBASE-91CCBC71,8.9,0
154,Colinus nigrogularis,AVIBASE-2F9C259A,9.1,0
155,Colinus leucopogon,AVIBASE-E1CB174C,10.4,0
156,Colinus cristatus,AVIBASE-5C8A2A0C,10.4,0
157,Callipepla squamata,AVIBASE-C46EEE59,10.3,0
158,Callipepla douglasii,AVIBASE-71FBF8D4,8.6,0
159,Callipepla gambelii,AVIBASE-C1ED9F86,9.5,0
160,Callipepla californica,AVIBASE-F93AC929,9.85,0
161,Dendrortyx barbatus,AVIBASE-B2082233,31,0
162,Dendrortyx macroura,AVIBASE-B6A6A4A0,28.3,0
163,Dendrortyx leucophrys,AVIBASE-AF3E329B,22.76391434,0
164,Odontophorus gujanensis,AVIBASE-B41E681C,15.4,0
165,Odontophorus capueira,AVIBASE-46499ABF,24.42869559,0
166,Odontophorus melanotis,AVIBASE-DE957D9D,19.39811273,0
167,Odontophorus erythrops,AVIBASE-DCE5A946,19.39811273,0
168,Odontophorus atrifrons,AVIBASE-C45218DF,17.52675314,0
169,Odontophorus hyperythrus,AVIBASE-D8BFC2F1,22.95,0
170,Odontophorus melanonotus,AVIBASE-344EF5E2,18.5204898,0
171,Odontophorus speciosus,AVIBASE-F761F6C4,18.65971785,0
172,Odontophorus dialeucos,AVIBASE-0E67D7FC,15.11260469,0
173,Odontophorus strophium,AVIBASE-744EE96B,17.38413852,0
174,Odontophorus columbianus,AVIBASE-062EC06C,19.5395033,0
175,Odontophorus leucolaemus,AVIBASE-C874DFDD,15.02710178,0
176,Odontophorus balliviani,AVIBASE-80200CD9,18.63009743,0
177,Odontophorus stellatus,AVIBASE-B2112708,20.55851807,0
178,Odontophorus guttatus,AVIBASE-B0E77189,17.7,0
179,Rhynchortyx cinctus,AVIBASE-8A792FFC,9.151944381,0
180,Dactylortyx thoracicus,AVIBASE-CDF3BB98,8.4,0
181,Cyrtonyx montezumae,AVIBASE-C5B014E3,10.1,0
182,Cyrtonyx sallei,AVIBASE-B33696C5,10.1,0
183,Cyrtonyx ocellatus,AVIBASE-A5DA64FF,12.60913886,0
184,Xenoperdix udzungwensis,AVIBASE-58A666ED,14.21718507,0
185,Rollulus rouloul,AVIBASE-90324456,13.99957332,0
186,Arborophila torqueola,AVIBASE-E74469BF,22,0
187,Arborophila rufogularis,AVIBASE-5CEEFC64,10.08,0
188,Arborophila atrogularis,AVIBASE-65723342,16.3,0
189,Arborophila crudigularis,AVIBASE-CBDF02F0,17.2366609,0
190,Arborophila mandellii,AVIBASE-768C2230,15.67384915,0
191,Arborophila brunneopectus,AVIBASE-B05BB149,15.67384915,0
192,Arborophila rufipectus,AVIBASE-53A3FEBE,21.5078559,0
193,Arborophila gingica,AVIBASE-B4C3A84F,15.10866519,0
194,Arborophila davidi,AVIBASE-C033F5EF,14.64753903,0
195,Arborophila cambodiana,AVIBASE-A60EA370,17.48146282,0
196,Arborophila campbelli,AVIBASE-D24B3E57,17.02277213,NA
197,Arborophila rolli,AVIBASE-D196AECF,18.10612672,NA
198,Arborophila sumatrana,AVIBASE-0AB49545,18.10612672,NA
199,Arborophila orientalis,AVIBASE-DAF52CD6,18.10612672,0
200,Arborophila javanica,AVIBASE-D0F51293,15.80564282,0
201,Arborophila rubrirostris,AVIBASE-D8FA684D,14.72520676,0
202,Arborophila hyperythra,AVIBASE-69E98505,15.75001621,0
203,Arborophila ardens,AVIBASE-629D76CA,16.84367336,0
204,Arborophila chloropus,AVIBASE-139AE3CD,20.2,0
205,Arborophila tonkinensis,AVIBASE-C14B276F,20.2,0
206,Arborophila charltonii,AVIBASE-E9C99FD7,20.2,0
207,Arborophila graydoni,AVIBASE-5DE04CDE,20.2,0
208,Rhizothera longirostris,AVIBASE-826B36EC,31.49324451,0
209,Rhizothera dulitensis,AVIBASE-1F5998BC,31.49324451,0
210,Melanoperdix niger,AVIBASE-7B454390,16.11985498,0
211,Haematortyx sanguiniceps,AVIBASE-53F470C0,16.84367336,0
212,Caloperdix oculeus,AVIBASE-E0593077,12.60743213,0
213,Galloperdix spadicea,AVIBASE-730665C1,20.5,0
214,Galloperdix lunulata,AVIBASE-3A5DB01C,19.1,0
215,Galloperdix bicalcarata,AVIBASE-1C615F42,19.1,0
216,Afropavo congensis,AVIBASE-E9125492,70,0
217,Pavo cristatus,AVIBASE-A8C34DC9,100.75,0
218,Pavo muticus,AVIBASE-990B9171,112,0
219,Argusianus argus,AVIBASE-F9F6A725,77,0
220,Rheinardia ocellata,AVIBASE-77CB201D,16.08201113,0
221,Polyplectron napoleonis,AVIBASE-A71A69A5,21.38184552,0
222,Polyplectron malacense,AVIBASE-DBFC1B0C,27.05515352,0
223,Polyplectron schleiermacheri,AVIBASE-2F560EC7,20.76888262,0
224,Polyplectron germaini,AVIBASE-9BB6A6B4,23.631528,0
225,Polyplectron katsumatae,AVIBASE-F6DD2F7E,33.5,NA
226,Polyplectron bicalcaratum,AVIBASE-824E5471,33.5,0
227,Polyplectron inopinatum,AVIBASE-B79C272A,20.76888262,0
228,Polyplectron chalcurum,AVIBASE-BC793E06,23.56220002,0
229,Margaroperdix madagarensis,AVIBASE-844ABEC0,14.31568505,NA
230,Coturnix coturnix,AVIBASE-CAFE345D,8.2,0
231,Coturnix japonica,AVIBASE-110CF425,8.2,0
232,Coturnix coromandelica,AVIBASE-A6F042E2,6.6,0
233,Coturnix delegorguei,AVIBASE-0CA903BB,7.5,0
234,Coturnix pectoralis,AVIBASE-98984CAD,8.6,0
235,Coturnix novaezelandiae,#N/A,8.6,NA
236,Synoicus ypsilophorus,AVIBASE-0CB2A17A,11.2,0
237,Synoicus chinensis,AVIBASE-C2579CCB,4.8,0
238,Synoicus adansonii,AVIBASE-CAA45AC6,4.98586617,0
239,Anurophasis monorthonyx,AVIBASE-6A668E88,20.26854719,0
240,Tetraogallus caucasicus,AVIBASE-1596C37C,74,0
241,Tetraogallus caspius,AVIBASE-039BF484,75,0
242,Tetraogallus himalayensis,AVIBASE-AC2DD69D,77.3,0
243,Tetraogallus tibetanus,AVIBASE-509A30B1,49.4980915,0
244,Tetraogallus altaicus,AVIBASE-D9A6E25C,73.18455332,0
245,Alectoris graeca,AVIBASE-44437074,19.7,0
246,Alectoris chukar,AVIBASE-87CBEBF7,20.9,0
247,Alectoris magna,AVIBASE-CFA35E8A,19.7,0
248,Alectoris philbyi,AVIBASE-123F3941,21.53631042,0
249,Alectoris barbara,AVIBASE-D44B2846,19.6,0
250,Alectoris rufa,AVIBASE-F71E0BE6,20.1,0
251,Alectoris melanocephala,AVIBASE-083811EB,29.54805914,0
252,Lerwa lerwa,AVIBASE-AEC62A99,37,0
253,Ammoperdix griseogularis,AVIBASE-439AFD40,12.3,0
254,Ammoperdix heyi,AVIBASE-CD83E49E,13.8,0
255,Perdicula asiatica,AVIBASE-32413666,5.6,0
256,Perdicula argoondah,AVIBASE-177160F1,5.6,0
257,Perdicula erythrorhyncha,AVIBASE-8E9DF823,9.1,0
258,Perdicula manipurensis,AVIBASE-19031FF7,9.6,0
259,Ophrysia superciliosa,AVIBASE-1EDD86FF,NA,NA
260,Pternistis hartlaubi,AVIBASE-56FA0FE6,15.56143159,0
261,Pternistis bicalcaratus,AVIBASE-D8267ADE,26.5,0
262,Pternistis icterorhynchus,AVIBASE-3EAF578D,19.9,0
263,Pternistis clappertoni,AVIBASE-6EB4D5DE,23,0
264,Pternistis harwoodi,AVIBASE-02D73B4A,23.93197024,0
265,Pternistis adspersus,AVIBASE-9E356E43,26.8,0
266,Pternistis capensis,AVIBASE-6405CD29,33,0
267,Pternistis natalensis,AVIBASE-A7002FF6,27,0
268,Pternistis hildebrandti,AVIBASE-F5A73AAA,26.3,0
269,Pternistis ahantensis,AVIBASE-CA53B18D,26.43442556,0
270,Pternistis squamatus,AVIBASE-1B11690B,22.4835142,0
271,Pternistis griseostriatus,AVIBASE-7A8E73BF,20.55942914,0
272,Pternistis leucoscepus,AVIBASE-90AFDF9E,30.8,0
273,Pternistis rufopictus,AVIBASE-DB3EB527,28.4,0
274,Pternistis afer,AVIBASE-5FA94F66,33,0
275,Pternistis swainsonii,AVIBASE-721FFBD4,29.1,0
276,Pternistis jacksoni,AVIBASE-A7E59764,38.51987079,0
277,Pternistis nobilis,AVIBASE-DA7CA265,33.41888091,0
278,Pternistis camerunensis,AVIBASE-D40CAF0C,26.01834482,0
279,Pternistis swierstrai,AVIBASE-3A5FE639,24.36474341,0
280,Pternistis castaneicollis,AVIBASE-05A3EE36,37.5,0
281,Pternistis atrifrons,AVIBASE-F86E768E,37.5,0
282,Pternistis erckelii,AVIBASE-6C4A6597,33,0
283,Pternistis ochropectus,AVIBASE-20C06F73,31.71609585,0
284,Francolinus francolinus,AVIBASE-50658B22,23.5,0
285,Francolinus pictus,AVIBASE-5B182830,17.1,0
286,Francolinus pintadeanus,AVIBASE-8DC52868,17.4,0
287,Francolinus pondicerianus,AVIBASE-B1C204EC,12.35,0
288,Francolinus gularis,AVIBASE-C5401E05,18.7,0
289,Dendroperdix sephaena,AVIBASE-8004C7E5,20.25,0
290,Peliperdix coqui,AVIBASE-ECD7C1D8,16.1,0
291,Peliperdix albogularis,AVIBASE-0EA1D390,15.05,0
292,Peliperdix schlegelii,AVIBASE-CE6D7D2F,16.1,0
293,Peliperdix lathami,AVIBASE-E11585DB,17.5,0
294,Scleroptila streptophora,AVIBASE-5B115F6C,19.75122909,0
295,Scleroptila levaillantii,AVIBASE-B49935ED,21,0
296,Scleroptila afra,AVIBASE-21616639,18.65,0
297,Scleroptila finschi,AVIBASE-864723FD,25.22424824,0
298,Scleroptila psilolaema,AVIBASE-FF5BAE30,18.65,0
299,Scleroptila elgonensis,AVIBASE-3D25568A,18.65,0
300,Scleroptila shelleyi,AVIBASE-A15F6836,18.65,0
301,Scleroptila whytei,AVIBASE-AE1B3497,18.65,0
302,Scleroptila gutturalis,AVIBASE-8E833C63,18.8,0
303,Bambusicola fytchii,AVIBASE-A070B7F4,19,0
304,Bambusicola thoracicus,AVIBASE-59ECAD9D,11.9,0
305,Bambusicola sonorivox,AVIBASE-FAA56C5A,NA,0
306,Gallus gallus,AVIBASE-3749777E,49.3,0
307,Gallus sonneratii,AVIBASE-444C1F4D,33.45,0
308,Gallus lafayettii,AVIBASE-E91A2FA8,30.35,0
309,Gallus varius,AVIBASE-BEA427FB,29.2,0
310,Tetraophasis obscurus,AVIBASE-B04F04D6,34.85796294,0
311,Tetraophasis szechenyii,AVIBASE-D839DB1A,42.08151582,0
312,Lophophorus impejanus,AVIBASE-F57FA437,69.2,0
313,Lophophorus sclateri,AVIBASE-298DEB8C,70.5,0
314,Lophophorus lhuysii,AVIBASE-583D3E97,73.31367765,0
315,Tragopan melanocephalus,AVIBASE-44BD6CF1,61,0
316,Tragopan satyra,AVIBASE-FB26CE58,58.7,0
317,Tragopan blythii,AVIBASE-528CC7C2,55.23899335,0
318,Tragopan temminckii,AVIBASE-5DDD7AA1,50.3,0
319,Tragopan caboti,AVIBASE-0D009C55,47.2,0
320,Ithaginis cruentus,AVIBASE-FFF63987,29.1,0
321,Pucrasia macrolopha,AVIBASE-6383E214,39.5,0
322,Syrmaticus ellioti,AVIBASE-117C0DDF,39.83188187,0
323,Syrmaticus humiae,AVIBASE-FAF7DC71,33,0
324,Syrmaticus mikado,AVIBASE-8DE17149,41.86570761,0
325,Syrmaticus soemmerringii,AVIBASE-0C641DC5,34.11830581,0
326,Syrmaticus reevesii,AVIBASE-94785AFF,32.2,0
327,Chrysolophus pictus,AVIBASE-093AC1FC,26.7,0
328,Chrysolophus amherstiae,AVIBASE-DDF032E8,31,0
329,Phasianus colchicus,AVIBASE-2FA39DCD,31.2,0
330,Phasianus versicolor,AVIBASE-22C500C0,31.2,0
331,Crossoptilon crossoptilon,AVIBASE-D39EDBF1,56.05,0
332,Crossoptilon harmani,AVIBASE-23937719,56.05,NA
333,Crossoptilon mantchuricum,AVIBASE-3AE74F1C,51.6,0
334,Crossoptilon auritum,AVIBASE-B3777B6C,63,0
335,Catreus wallichii,AVIBASE-BCF98F51,57.7,0
336,Lophura leucomelanos,AVIBASE-93A17734,41.35,0
337,Lophura nycthemera,AVIBASE-D793F5FE,43.4,0
338,Lophura edwardsi,AVIBASE-7F93B067,38.19306593,0
339,Lophura swinhoii,AVIBASE-1EFA9BD0,38.58783393,0
340,Lophura inornata,AVIBASE-0C6585C7,38.14820752,0
341,Lophura erythrophthalma,AVIBASE-EF966E96,37.3003582,0
342,Lophura pyronota,AVIBASE-B600ECBA,37.3003582,0
343,Lophura ignita,AVIBASE-A2C24EB3,59.25722703,0
344,Lophura rufa,AVIBASE-E811C037,59.25722703,0
345,Lophura diardi,AVIBASE-6805AC5A,32.58027933,0
346,Lophura bulweri,AVIBASE-2CE71349,49.4980915,0
347,Perdix perdix,AVIBASE-C013A20E,14.5,0
348,Perdix dauurica,AVIBASE-0923A272,12.85,0
349,Perdix hodgsoniae,AVIBASE-ABB81DC6,14.8,0
350,Meleagris gallopavo,AVIBASE-9C5ED06A,78.8,0
351,Meleagris ocellata,AVIBASE-729BEC33,108.0469262,0
352,Bonasa umbellus,AVIBASE-6D2B5CDA,18,0
353,Bonasa bonasia,AVIBASE-B8CA2EEB,19,0
354,Bonasa sewerzowi,AVIBASE-05BEE346,20.5,0
355,Lagopus lagopus,AVIBASE-FC3D07C6,21.75,0
356,Lagopus muta,AVIBASE-79B161B7,20,0
357,Lagopus leucura,AVIBASE-C53F4940,20,0
358,Dendragapus obscurus,AVIBASE-A55D83A9,32.5,0
359,Dendragapus fuliginosus,AVIBASE-E4A5B66A,32.5,NA
360,Falcipennis falcipennis,AVIBASE-1522E139,25.5,0
361,Falcipennis canadensis,AVIBASE-81881027,22.65,0
362,Falcipennis franklinii,AVIBASE-ED1BA351,22.65,0
363,Tetrao urogallus,AVIBASE-C3221EE2,53,0
364,Tetrao urogalloides,AVIBASE-117B6909,54,0
365,Lyrurus tetrix,AVIBASE-D4441CD6,35.5,0
366,Lyrurus mlokosiewiczi,AVIBASE-4ACE5613,32.5,0
367,Centrocercus urophasianus,AVIBASE-B7E467E2,44.5,0
368,Centrocercus minimus,AVIBASE-7071D403,49.98033232,NA
369,Tympanuchus phasianellus,AVIBASE-861CBBDA,24,0
370,Tympanuchus cupido,AVIBASE-F59448B7,24.5,0
371,Tympanuchus pallidicinctus,AVIBASE-CFFD1491,24,0
372,Anhima cornuta,AVIBASE-71BA40DC,150,0
373,Chauna chavaria,AVIBASE-013B2B0B,184,0
374,Chauna torquata,AVIBASE-91194BE3,160,0
375,Anseranas semipalmata,AVIBASE-89D5434B,111.2,1
376,Dendrocygna viduata,AVIBASE-A534AFEA,36,0
377,Dendrocygna autumnalis,AVIBASE-C01A22D6,44,0
378,Dendrocygna guttata,AVIBASE-1AAB20B0,49,0
379,Dendrocygna arborea,AVIBASE-DC65FCE7,49,0
380,Dendrocygna bicolor,AVIBASE-9A60617E,49.05,0
381,Dendrocygna eytoni,AVIBASE-A467AD00,35,0
382,Dendrocygna arcuata,AVIBASE-69D272A6,40,0
383,Dendrocygna javanica,AVIBASE-BD683E6E,35.15,0
384,Thalassornis leuconotus,AVIBASE-2EEDACD5,82.6,0
385,Heteronetta atricapilla,AVIBASE-5ACD60F4,60,0
386,Nomonyx dominicus,AVIBASE-98C6F885,52,0
387,Oxyura jamaicensis,AVIBASE-675EEA7F,73,0
388,Oxyura ferruginea,AVIBASE-3DB916F5,73,0
389,Oxyura vittata,AVIBASE-079A8245,86,0
390,Oxyura australis,AVIBASE-672BA2DA,87.2,0
391,Oxyura maccoa,AVIBASE-1C2F4E80,88,0
392,Oxyura leucocephala,AVIBASE-2E40EF2C,97,0
393,Biziura lobata,AVIBASE-623B61C4,128,0
394,Malacorhynchus membranaceus,AVIBASE-FE03DD1E,33.1,0
395,Stictonetta naevosa,AVIBASE-E93960AB,77,0
396,Cereopsis novaehollandiae,AVIBASE-CA875F31,137,0
397,Coscoroba coscoroba,AVIBASE-A3A0E8FE,178.4,0
398,Cygnus melancoryphus,AVIBASE-B8C652E6,247,0
399,Cygnus atratus,AVIBASE-46B54DB1,267,0
400,Cygnus olor,AVIBASE-694C127A,342.5,0
401,Cygnus buccinator,AVIBASE-B86C504C,330.5,0
402,Cygnus cygnus,AVIBASE-BDDB5670,331,0
403,Cygnus columbianus,AVIBASE-0BCBA6B9,269.6,0
404,Branta bernicla,AVIBASE-3E04020B,85,0
405,Branta leucopsis,AVIBASE-3163ED86,104,0
406,Branta ruficollis,AVIBASE-0D280B3F,84.1,0
407,Branta hutchinsii,AVIBASE-60214D49,163,NA
408,Branta canadensis,AVIBASE-B59E1863,163,0
409,Branta sandvicensis,AVIBASE-EDB18078,144,0
410,Anser canagicus,AVIBASE-1E6F0F8D,120,0
411,Anser caerulescens,AVIBASE-D3A260BC,121.95,0
412,Anser rossii,AVIBASE-7A24F57F,92,0
413,Anser indicus,AVIBASE-B7159EF0,141,0
414,Anser anser,AVIBASE-4AED44E8,165,0
415,Anser cygnoid,AVIBASE-946E4517,143.85,0
416,Anser fabalis,AVIBASE-2FEEA78C,146,0
417,Anser brachyrhynchus,AVIBASE-AFA7EE74,123,0
418,Anser albifrons,AVIBASE-466E9077,125,0
419,Anser erythropus,AVIBASE-184D2329,103,0
420,Clangula hyemalis,AVIBASE-AF0C7BDE,43.5,0
421,Somateria fischeri,AVIBASE-7D8BF5CC,73,0
422,Somateria spectabilis,AVIBASE-F3D74914,69.85,0
423,Somateria mollissima,AVIBASE-B77377EE,110,0
424,Polysticta stelleri,AVIBASE-BA07D016,55.1,0
425,Melanitta perspicillata,AVIBASE-624078BA,62,0
426,Melanitta fusca,AVIBASE-BAF44E36,92,0
427,Melanitta stejnegeri,AVIBASE-1A601D86,92,0
428,Melanitta deglandi,AVIBASE-4800D6B6,92,0
429,Melanitta nigra,AVIBASE-24698199,73,0
430,Melanitta americana,AVIBASE-B7B1A5DD,73,0
